bookID,title,author,average_rating,isbn,isbn13,language_code,num_pages,audio_hrs,ratings_count,text_reviews_count,publication_date,publisher,series
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling,4.57,439785960,9780439785969,eng,652,0.0,2095690,27591,2006-09-16,Scholastic Inc.,True
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling,4.49,439358078,9780439358071,eng,870,0.0,2153167,29221,2004-09-01,Scholastic Inc.,True
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9780439554893,eng,352,0.0,6333,244,2003-11-01,Scholastic,True
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling,4.56,043965548X,9780439655484,eng,435,0.0,2339585,36325,2004-05-01,Scholastic Inc.,True
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling,4.78,439682584,9780439682589,eng,2690,0.0,41428,164,2004-09-13,Scholastic,True
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9780976540601,eng,152,0.0,19,1,2005-04-26,Nimble Books,False
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9780439827607,eng,3342,0.0,28242,808,2005-09-12,Scholastic,True
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9780517226957,eng,815,0.0,3628,254,2005-11-01,Gramercy Books,True
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9780345453747,eng,815,0.0,249558,4080,2002-04-30,Del Rey Books,True
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9781400052929,eng,215,0.0,4930,460,2004-08-03,Crown,True
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9780517149256,eng,815,0.0,2877,195,1996-01-17,Wings Books,True
21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9780767908184,eng,544,0.0,248558,9396,2004-09-14,Broadway Books,False
22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9780767915069,eng,55,0.0,7270,499,2002-12-03,Broadway Books,False
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9780767910439,eng,256,0.0,2088,131,2004-09-14,Broadway Books,False
24,In a Sunburned Country,Bill Bryson,4.07,767903862,9780767903868,eng,335,0.0,72451,4245,2001-05-15,Broadway Books,False
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9780767903820,eng,304,0.0,49240,2211,2000-06-28,Broadway Books,False
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9780060920081,eng,299,0.0,45712,2257,1990-08-28,William Morrow Paperbacks,False
