,bookID,title,author,average_rating,isbn,isbn13,language_code,num_pages,audio_hrs,ratings_count,text_reviews_count,publication_date,publisher
286,955,The 5 Love Languages / The 5 Love Languages Journal,Gary Chapman,4.7,802415318,9780802415318,eng,0,0.0,22,4,2005-01-01,Moody Publishers
1954,7598,A Study Guide to Gabriel Garcia Marquez' One Hundred Years of Solitude,Gabriel García Márquez,4.11,1570421129,9781570421129,eng,0,0.0,75,2,2006-04-01,Warner Adult
2266,8889,Return to the Planet of the Apes #2: Escape from Terror Lagoon,William Arrow,3.0,345251679,9780345251671,eng,0,0.0,10,2,1976-04-12,Ballantine Books
2274,8916,The Complete Science Fiction Treasury of H.G. Wells,H.G. Wells,4.14,517052253,9780517052259,eng,0,0.0,45,1,1987-06-24,Random House Value Publishing
2566,10215,The Far Pavilions,M.M. Kaye,4.21,517333414,9780517333419,eng,0,0.0,19,4,1988-12-12,Random House Value Publishing
3341,13106,The Celestine Prophecy,James Redfield,3.64,1594831955,9781594831959,eng,0,0.0,64,10,2006-02-16,Grand Central Publishing
3554,13842,The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan,4.06,1596590939,9781596590939,eng,0,0.0,117,36,2007-05-21,Your Coach Digital
4152,16312,One  Two  Buckle My Shoe (Hercule Poirot  #23),Agatha Christie,3.76,1572703857,9781572703858,eng,0,0.0,14388,411,2004-03-16,HarperCollins Publishers
4421,17276,The Feynman Lectures on Physics Vols 3-4,Richard P. Feynman,4.71,738209252,9780738209258,eng,0,0.0,21,0,2004-05-12,Basic Books
4422,17277,The Feynman Lectures on Physics Vols 7-8,Richard P. Feynman,4.8,738209279,9780738209272,eng,0,0.0,20,0,2006-01-03,Basic Books
5297,21665,The Best American Mystery Stories 2004,Nelson DeMille,3.55,618497420,9780618497423,eng,0,0.0,3,0,2004-10-14,Mariner Books
5342,21969,The Book of the Dead  (Pendergast  #7; Diogenes  #3),Douglas Preston,4.13,1594832285,9781594832284,eng,0,0.0,112,16,2006-05-30,Grand Central Publishing
